Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
Qualifier 1,Yusuf Pathan,"Subrata Roy Sahara Stadium, Pune",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat first,KKR , 18 runs,Runs,163,73,2012
Eliminator,MS Dhoni,"M Chinnaswamy Stadium, Bangalore",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field first,CSK , 38 runs,Runs,188,74,2012
Qualifier 2,Murali Vijay,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field first,CSK , 86 runs,Runs,223,75,2012
Final,Manvinder  Bisla,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat first,KKR , 5 wickets ,Wickets,191,76,2012
League,Sunil Narine,"Eden Gardens, Kolkata",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 6 wickets ,Wickets,129,1,2013
League,Chris Gayle,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field first,RCB , 2 runs,Runs,157,2,2013
League,Amit Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Field first,SRH , 22 runs,Runs,127,3,2013
League,Rahul Dravid,"Feroz Shah Kotla, Delhi",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat first,RR , 5 runs,Runs,166,4,2013
League,Kieron Pollard,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat first,MI , 9 runs,Runs,149,5,2013
League,Manan Vohra,"Subrata Roy Sahara Stadium, Pune",Pune Warriors,Kings XI Punjab,Pune Warriors,Bat first,Kings XI , 8 wickets ,Wickets,100,6,2013
League,Hanuma Vihari,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat first,Tied,Tied,Tied,131,7,2013
League,Siddharth Trivedi,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field first,RR , 19 runs,Runs,145,8,2013
League,Virat Kohli,"M Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat first,RCB , 7 wickets ,Wickets,162,9,2013
League,Dinesh Karthik,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat first,MI , 44 runs,Runs,210,10,2013
League,Michael Hussey,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 10 wickets ,Wickets,139,11,2013
League,Chris Gayle,"M Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 8 wickets ,Wickets,155,12,2013
League,Aaron Finch,"Subrata Roy Sahara Stadium, Pune",Rajasthan Royals,Pune Warriors,Rajasthan Royals,Bat first,Warriors , 7 wickets ,Wickets,146,13,2013
League,Amit Mishra,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat first,SRH , 3 wickets ,Wickets,115,14,2013
League,Rohit Sharma,"Wankhede Stadium, Mumbai",Mumbai Indians,Pune Warriors,Mumbai Indians,Bat first,MI , 41 runs,Runs,184,15,2013
League,Ravindra Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 4 wickets ,Wickets,166,16,2013
League,Gautam Gambhir,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat first,KKR , 48 runs,Runs,181,17,2013
League,James Faulkner,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field first,RR , 6 wickets ,Wickets,125,18,2013
League,Steven Smith,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,Chennai Super Kings,Pune Warriors,Bat first,Warriors , 24 runs,Runs,160,19,2013
League,Manpreet Gony,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field first,Kings XI , 4 runs,Runs,158,20,2013
League,Virat Kohli,"M Chinnaswamy Stadium, Bangalore",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,Tied,Tied,Tied,153,21,2013
League,Amit Mishra,"Subrata Roy Sahara Stadium, Pune",Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Field first,SRH , 11 runs,Runs,120,22,2013
League,Ajinkya Rahane,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat first,RR , 87 runs,Runs,180,23,2013
League,Michael Hussey,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat first,CSK , 86 runs,Runs,170,24,2013
League,Hanuma Vihari,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Bat first,SRH , 5 wickets ,Wickets,124,25,2013
League,Ravindra Jadeja,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat first,CSK , 4 wickets ,Wickets,120,26,2013
League,Vinay Kumar,"M Chinnaswamy Stadium, Bangalore",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 7 wickets ,Wickets,118,27,2013
League,Virender Sehwag,"Feroz Shah Kotla, Delhi",Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat first,Daredevils , 9 wickets ,Wickets,162,28,2013
League,David Miller,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Pune Warriors,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 7 wickets ,Wickets,186,29,2013
League,Michael Hussey,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat first,CSK , 5 wickets ,Wickets,186,30,2013
League,Chris Gayle,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Field first,RCB , 130 runs,Runs,264,31,2013
League,Harmeet Singh,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 5 wickets ,Wickets,121,32,2013
League,Dwayne Smith,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat first,MI , 5 wickets ,Wickets,160,33,2013
League,MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat first,CSK , 5 wickets ,Wickets,160,34,2013
League,Jacques Kallis,"Eden Gardens, Kolkata",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat first,KKR , 6 wickets ,Wickets,150,35,2013
League,James Faulkner,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat first,RR , 8 wickets ,Wickets,145,36,2013
League,Dwayne Smith,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat first,MI , 58 runs,Runs,195,37,2013
League,Michael Hussey,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field first,CSK , 14 runs,Runs,201,38,2013
League,David Warner,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils,Pune Warriors,Pune Warriors,Field first,Daredevils , 15 runs,Runs,165,39,2013
League,Sanju Samson,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field first,RR , 4 wickets ,Wickets,172,40,2013
League,Rohit Sharma,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat first,MI , 4 runs,Runs,175,41,2013
League,MS Dhoni,"Subrata Roy Sahara Stadium, Pune",Chennai Super Kings,Pune Warriors,Chennai Super Kings,Bat first,CSK , 37 runs,Runs,165,42,2013
League,Ishant Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat first,SRH , 7 wickets ,Wickets,130,43,2013
League,David Warner,"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat first,Daredevils , 7 wickets ,Wickets,137,44,2013
League,Suresh Raina,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat first,CSK , 15 runs,Runs,187,45,2013
League,AB de Villiers,"Subrata Roy Sahara Stadium, Pune",Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,Bat first,RCB , 17 runs,Runs,188,46,2013
League,Yusuf Pathan,"Eden Gardens, Kolkata",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat first,KKR , 8 wickets ,Wickets,133,47,2013
League,Daren Sammy,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat first,SRH , 6 wickets ,Wickets,81,48,2013
League,Mitchell Johnson,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat first,MI , 60 runs,Runs,140,49,2013
League,Ajinkya Rahane,"Sawai Mansingh Stadium, Jaipur",Pune Warriors,Rajasthan Royals,Pune Warriors,Bat first,RR , 5 wickets ,Wickets,179,50,2013
League,David Miller,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 6 wickets ,Wickets,191,51,2013
League,Ajinkya Rahane,"Sawai Mansingh Stadium, Jaipur",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat first,RR , 9 wickets ,Wickets,155,52,2013
League,Sachin Tendulkar,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat first,MI , 65 runs,Runs,171,53,2013
